,Yield (kg),PBFS (%),TSS (°Brix),pH,Acidity (%),FW (g),FD (cm),NS,PHFS (%)
Yield (kg),1,0.57***,0.25,-0.01,-0.51**,0.70***,0.73***,0.46*,0.58***
PBFS (%),0.57***,1,0.43*,0.16,-0.64***,0.53**,0.50**,0.19,0.41*
TSS (°Brix),0.25,0.43*,1,0.32,-0.51**,0.43*,0.25,-0.10,0.47**
pH,-0.01,0.16,0.32,1,-0.27,0.25,-0.16,0.04,0.46*
Acidity (%),-0.51**,-0.64***,-0.51**,-0.27,1,-0.50**,-0.50**,-0.11,-0.62***
FW (g),0.70***,0.53**,0.43*,0.25,-0.50**,1,0.69***,0.34,0.67***
FD (cm),0.73***,0.50**,0.25,-0.16,-0.50**,0.69***,1,0.43*,0.53**
NS,0.46*,0.19,-0.10,0.04,-0.11,0.34,0.43*,1,0.25
PHFS (%),0.58***,0.41*,0.47**,0.46*,-0.62***,0.67***,0.53**,0.25,1
